english,singular,plural,article,noun,x,y
Granite,Der Granit,(usually uncountable),Der,Granit,granit,0
Ambassador,Der Botschafter,Die Botschafter,Der,Botschafter,botschafter,0
Turning,Die Abbiegung,Die Abbiegungen,Die,Abbiegung,abbiegung,1
Sitting,Das Sitzen,(usually uncountable),Das,Sitzen,sitzen,2
Compliment,Das Kompliment,Die Komplimente,Das,Kompliment,kompliment,2
Carton,Der Karton,Die Kartons,Der,Karton,karton,0
Doorbell,Die Türklingel,Die Türklingeln,Die,Türklingel,türklingel,1
Certainty,Die Gewissheit,Die Gewissheiten,Die,Gewissheit,gewissheit,1
Politician,Der Politiker,Die Politiker,Der,Politiker,politiker,0
Gratitude,Die Dankbarkeit,(usually uncountable),Die,Dankbarkeit,dankbarkeit,1
Plaster,Der Gips,(usually uncountable),Der,Gips,gips,0
Settlement,Die Siedlung,Die Siedlungen,Die,Siedlung,siedlung,1
Chop,Der Hacken,Die Hacken,Der,Hacken,hacken,0
Homicide,Der Totschlag,Die Totschläge,Der,Totschlag,totschlag,0
Aluminum,Das Aluminium,(usually uncountable),Das,Aluminium,aluminium,2
Pupil,Der Schüler,Die Schüler,Der,Schüler,schüler,0
Float,Die Schwimmhilfe,Die Schwimmhilfen,Die,Schwimmhilfe,schwimmhilfe,1
Profession,Der Beruf,Die Berufe,Der,Beruf,beruf,0
Retreat,Der Rückzugsort,Die Rückzugsorte,Der,Rückzugsort,rückzugsort,0
Intersection,Die Kreuzung,Die Kreuzungen,Die,Kreuzung,kreuzung,1
Scheme,Das Schema,Die Schemata,Das,Schema,schema,2
Emptiness,Die Leere,(usually uncountable),Die,Leere,leere,1
Publisher,Der Verleger,Die Verleger,Der,Verleger,verleger,0
Circus,Der Zirkus,Die Zirkusse,Der,Zirkus,zirkus,0
Dimension,Die Dimension,Die Dimensionen,Die,Dimension,dimension,1
Zoo,Der Zoo,Die Zoos,Der,Zoo,zoo,0
Messenger,Der Bote,Die Boten,Der,Bote,bote,0
Tangle,Das Gewirr,Die Gewirre,Das,Gewirr,gewirr,2
Strategy,Die Strategie,Die Strategien,Die,Strategie,strategie,1
Businessman,Der Geschäftsmann,Die Geschäftsleute,Der,Geschäftsmann,geschäftsmann,0
Pod,Die Hülse,Die Hülsen,Die,Hülse,hülse,1
Drain,Der Abfluss,Die Abflüsse,Der,Abfluss,abfluss,0
Strawberry,Die Erdbeere,Die Erdbeeren,Die,Erdbeere,erdbeere,1
Anniversary,Das Jubiläum,Die Jubiläen,Das,Jubiläum,jubiläum,2
Binoculars,Das Fernglas,Die Ferngläser,Das,Fernglas,fernglas,2
Discipline,Die Disziplin,(usually uncountable),Die,Disziplin,disziplin,1
Hedge,Die Hecke,Die Hecken,Die,Hecke,hecke,1
Income,Das Einkommen,Die Einkommen,Das,Einkommen,einkommen,2
Myth,Der Mythos,Die Mythen,Der,Mythos,mythos,0
Shutter,Der Verschluss,Die Verschlüsse,Der,Verschluss,verschluss,0
Raft,Das Floß,Die Floße,Das,Floß,floß,2
Ambition,Der Ehrgeiz,(usually uncountable),Der,Ehrgeiz,ehrgeiz,0
Camel,Das Kamel,Die Kamele,Das,Kamel,kamel,2
Beating,Das Schlagen,(usually uncountable),Das,Schlagen,schlagen,2
Acid,Die Säure,Die Säuren,Die,Säure,säure,1
Cereal,Das Getreide,(usually uncountable),Das,Getreide,getreide,2
Basin,Das Becken,Die Becken,Das,Becken,becken,2
Nightgown,Das Nachthemd,Die Nachthemden,Das,Nachthemd,nachthemd,2
Internet,Das Internet,(usually uncountable),Das,Internet,internet,2
Cockpit,Das Cockpit,Die Cockpits,Das,Cockpit,cockpit,2
Wreck,Das Wrack,Die Wracks,Das,Wrack,wrack,2
Wig,Die Perücke,Die Perücken,Die,Perücke,perücke,1
Rein,Der Zügel,Die Zügel,Der,Zügel,zügel,0
Recorder,Der Rekorder,Die Rekorder,Der,Rekorder,rekorder,0
Pork,Das Schweinefleisch,(usually uncountable),Das,Schweinefleisch,schweinefleisch,2
Exam,Die Prüfung,Die Prüfungen,Die,Prüfung,prüfung,1
Courtesy,Die Höflichkeit,(usually uncountable),Die,Höflichkeit,höflichkeit,1
Cheekbone,Der Wangenknochen,Die Wangenknochen,Der,Wangenknochen,wangenknochen,0
Whip,Die Peitsche,Die Peitschen,Die,Peitsche,peitsche,1
Pilgrim,Der Pilger,Die Pilger,Der,Pilger,pilger,0
Collapse,Der Zusammenbruch,Die Zusammenbrüche,Der,Zusammenbruch,zusammenbruch,0
Faculty,Die Fakultät,Die Fakultäten,Die,Fakultät,fakultät,1
Sage,Der Weise,Die Weisen,Der,Weise,weise,0
Asphalt,Der Asphalt,(usually uncountable),Der,Asphalt,asphalt,0
Privilege,Das Privileg,Die Privilegien,Das,Privileg,privileg,2
Maintenance,Die Wartung,(usually uncountable),Die,Wartung,wartung,1
Orchard,Der Obstgarten,Die Obstgärten,Der,Obstgarten,obstgarten,0
Cot,Der Kinderbett,Die Kinderbetten,Der,Kinderbett,kinderbett,0
Lighter,Das Feuerzeug,Die Feuerzeuge,Das,Feuerzeug,feuerzeug,2
Formation,Die Formation,Die Formationen,Die,Formation,formation,1
Snack,Der Snack,Die Snacks,Der,Snack,snack,0
Talking,Das Reden,(usually uncountable),Das,Reden,reden,2
Sculpture,Die Skulptur,Die Skulpturen,Die,Skulptur,skulptur,1
Chairman,Der Vorsitzende,Die Vorsitzenden,Der,Vorsitzende,vorsitzende,0
Sum,Die Summe,Die Summen,Die,Summe,summe,1
Carrot,Die Möhre,Die Möhren,Die,Möhre,möhre,1
Radar,Das Radar,(usually uncountable),Das,Radar,radar,2
Ponytail,Der Pferdeschwanz,Die Pferdeschwänze,Der,Pferdeschwanz,pferdeschwanz,0
Designer,Der Designer,Die Designer,Der,Designer,designer,0
Surge,Der Schub,Die Schübe,Der,Schub,schub,0
Heir,Der Erbe,Die Erben,Der,Erbe,erbe,0
Vault,Das Gewölbe,Die Gewölbe,Das,Gewölbe,gewölbe,2
Sissy,Die Memme,Die Memmen,Die,Memme,memme,1
Tunic,Die Tunika,Die Tuniken,Die,Tunika,tunika,1
Penis,Der Penis,Die Penisse,Der,Penis,penis,0
Native,Der Eingeborene,Die Eingeborenen,Der,Eingeborene,eingeborene,0
Lovemaking,Der Liebesakt,Die Liebesakte,Der,Liebesakt,liebesakt,0
Aide,Der Helfer,Die Helfer,Der,Helfer,helfer,0
Poker,Der Poker,Die Pokers,Der,Poker,poker,0
Lime,Die Limette,Die Limetten,Die,Limette,limette,1
Surveillance,Die Überwachung,(usually uncountable),Die,Überwachung,überwachung,1
Assembly,Die Versammlung,Die Versammlungen,Die,Versammlung,versammlung,1
Grandson,Der Enkel,Die Enkel,Der,Enkel,enkel,0
Carrier,Der Träger,Die Träger,Der,Träger,träger,0
Engagement,Das Engagement,Die Engagements,Das,Engagement,engagement,2
Kin,Die Verwandtschaft,(usually uncountable),Die,Verwandtschaft,verwandtschaft,1
Fit,Die Passform,Die Passformen,Die,Passform,passform,1
Farmhouse,Das Bauernhaus,Die Bauernhäuser,Das,Bauernhaus,bauernhaus,2
Wait,Die Wartezeit,Die Wartezeiten,Die,Wartezeit,wartezeit,1
Assassin,Der Attentäter,Die Attentäter,Der,Attentäter,attentäter,0
Foam,Der Schaum,Die Schäume,Der,Schaum,schaum,0
Tug,Der Schlepper,Die Schlepper,Der,Schlepper,schlepper,0
Journalist,Der Journalist,Die Journalisten,Der,Journalist,journalist,0
Recording,Die Aufnahme,Die Aufnahmen,Die,Aufnahme,aufnahme,1
Cure,Die Heilung,Die Heilungen,Die,Heilung,heilung,1
Descent,Der Abstieg,Die Abstiege,Der,Abstieg,abstieg,0
Ringing,Das Klingeln,(usually uncountable),Das,Klingeln,klingeln,2
Scissors,Die Schere,Die Scheren,Die,Schere,schere,1
Twig,Der Zweig,Die Zweige,Der,Zweig,zweig,0
Resort,Das Resort,Die Resorts,Das,Resort,resort,2
Opponent,Der Gegner,Die Gegner,Der,Gegner,gegner,0
Wheat,Der Weizen,(usually uncountable),Der,Weizen,weizen,0
Hurricane,Der Hurrikan,Die Hurrikane,Der,Hurrikan,hurrikan,0
Playground,Der Spielplatz,Die Spielplätze,Der,Spielplatz,spielplatz,0
Mushroom,Der Pilz,Die Pilze,Der,Pilz,pilz,0
Keyboard,Die Tastatur,Die Tastaturen,Die,Tastatur,tastatur,1
Cedar,Die Zeder,Die Zedern,Die,Zeder,zeder,1
Crest,Die Crest,Die Crests,Die,Crest,crest,1
Jasmine,Die Jasmin,Die Jasmin,Die,Jasmin,jasmin,1
Armchair,Der Sessel,Die Sessel,Der,Sessel,sessel,0
Attraction,Die Attraktion,Die Attraktionen,Die,Attraktion,attraktion,1
Blind,Die Jalousie,Die Jalousien,Die,Jalousie,jalousie,1
Cylinder,Der Zylinder,Die Zylinder,Der,Zylinder,zylinder,0
Swallow,Die Schwalbe,Die Schwalben,Die,Schwalbe,schwalbe,1
Celebrity,Der Prominente,Die Prominenten,Der,Prominente,prominente,0
Wilderness,Die Wildnis,(usually uncountable),Die,Wildnis,wildnis,1
Triangle,Das Dreieck,Die Dreiecke,Das,Dreieck,dreieck,2
Stench,Der Gestank,(usually uncountable),Der,Gestank,gestank,0
Array,Das Array,Die Arrays,Das,Array,array,2
Valentine,Der Valentine,Die Valentines,Der,Valentine,valentine,0
Retirement,Der Ruhestand,(usually uncountable),Der,Ruhestand,ruhestand,0
Ski,Der Ski,Die Skis,Der,Ski,ski,0
Supervisor,Der Vorgesetzte,Die Vorgesetzten,Der,Vorgesetzte,vorgesetzte,0
Expanse,Die Weite,Die Weiten,Die,Weite,weite,1
Moss,Der Moos,(usually uncountable),Der,Moos,moos,0
Loyalty,Die Treue,(usually uncountable),Die,Treue,treue,1
Lavender,Der Lavendel,(usually uncountable),Der,Lavendel,lavendel,0
Pardon,Die Verzeihung,(usually uncountable),Die,Verzeihung,verzeihung,1
Ashtray,Der Aschenbecher,Die Aschenbecher,Der,Aschenbecher,aschenbecher,0
Shard,Der Scherben,Die Scherben,Der,Scherben,scherben,0
Distraction,Die Ablenkung,Die Ablenkungen,Die,Ablenkung,ablenkung,1
Majesty,Die Majestät,(usually uncountable),Die,Majestät,majestät,1
Pyramid,Die Pyramide,Die Pyramiden,Die,Pyramide,pyramide,1
Distress,Die Not,(usually uncountable),Die,Not,not,1
Independence,Die Unabhängigkeit,(usually uncountable),Die,Unabhängigkeit,unabhängigkeit,1
Crush,Der Schwarm,Die Schwärme,Der,Schwarm,schwarm,0
Dime,Der Zehncent,Die Zehncents,Der,Zehncent,zehncent,0
Gust,Die Böe,Die Böen,Die,Böe,böe,1
Russian,Der Russe,Die Russen,Der,Russe,russe,0
Foreigner,Der Ausländer,Die Ausländer,Der,Ausländer,ausländer,0
Salary,Das Gehalt,Die Gehälter,Das,Gehalt,gehalt,2
Scope,Der Umfang,Die Umfänge,Der,Umfang,umfang,0
Rebel,Der Rebell,Die Rebellen,Der,Rebell,rebell,0
Thug,Der Schläger,Die Schläger,Der,Schläger,schläger,0
Socket,Die Steckdose,Die Steckdosen,Die,Steckdose,steckdose,1
Refugee,Der Flüchtling,Die Flüchtlinge,Der,Flüchtling,flüchtling,0
Phase,Die Phase,Die Phasen,Die,Phase,phase,1
Pumpkin,Der Kürbis,Die Kürbisse,Der,Kürbis,kürbis,0
Thorn,Der Dorn,Die Dornen,Der,Dorn,dorn,0
Hide,Das Versteck,Die Verstecke,Das,Versteck,versteck,2
Sausage,Die Wurst,Die Würste,Die,Wurst,wurst,1
Dig,Der Lupfer,Die Lupfen,Der,Lupfer,lupfer,0
Tan,Die Bräune,Die Bräunen,Die,Bräune,bräune,1
Loan,Das Darlehen,Die Darlehen,Das,Darlehen,darlehen,2
Spike,Der Stachel,Die Stacheln,Der,Stachel,stachel,0
Crumb,Die Krume,Die Krumen,Die,Krume,krume,1
Wax,Das Wachs,(usually uncountable),Das,Wachs,wachs,2
Growl,Das Knurren,Die Knurren,Das,Knurren,knurren,2
Rental,Die Vermietung,Die Vermietungen,Die,Vermietung,vermietung,1
Feed,Das Futter,(usually uncountable),Das,Futter,futter,2
Flora,Die Flora,(usually uncountable),Die,Flora,flora,1
Festival,Das Festival,Die Festivals,Das,Festival,festival,2
Debate,Die Debatte,Die Debatten,Die,Debatte,debatte,1
Critic,Der Kritiker,Die Kritiker,Der,Kritiker,kritiker,0
Cast,Der Guss,Die Güsse,Der,Guss,guss,0
Commission,Die Kommission,Die Kommissionen,Die,Kommission,kommission,1
Flicker,Das Flackern,Die Flackern,Das,Flackern,flackern,2
Economy,Die Wirtschaft,Die Wirtschaften,Die,Wirtschaft,wirtschaft,1
Radiation,Die Strahlung,Die Strahlungen,Die,Strahlung,strahlung,1
Bodyguard,Der Leibwächter,Die Leibwächter,Der,Leibwächter,leibwächter,0
Realization,Die Erkenntnis,Die Erkenntnisse,Die,Erkenntnis,erkenntnis,1
Crater,Der Krater,Die Krater,Der,Krater,krater,0
Congress,Der Kongress,Die Kongresse,Der,Kongress,kongress,0
Fry,Das Braten,Die Braten,Das,Braten,braten,2
Shiver,Das Zittern,Die Zittern,Das,Zittern,zittern,2
Obligation,Die Verpflichtung,Die Verpflichtungen,Die,Verpflichtung,verpflichtung,1
Loser,Der Verlierer,Die Verlierer,Der,Verlierer,verlierer,0
Wink,Das Zwinkern,Die Zwinkern,Das,Zwinkern,zwinkern,2
Pebble,Der Kieselstein,Die Kieselsteine,Der,Kieselstein,kieselstein,0
Necessity,Die Notwendigkeit,Die Notwendigkeiten,Die,Notwendigkeit,notwendigkeit,1
Workshop,Das Seminar,Die Seminare,Das,Seminar,seminar,2
Sunrise,Der Sonnenaufgang,Die Sonnenaufgänge,Der,Sonnenaufgang,sonnenaufgang,0
Exhaustion,Die Erschöpfung,(usually uncountable),Die,Erschöpfung,erschöpfung,1
Double,Das Doppel,Die Dopple,Das,Doppel,doppel,2
Comb,Der Kamm,Die Kämme,Der,Kamm,kamm,0
Finish,Das Finish,Die Finish,Das,Finish,finish,2
Purchase,Der Kauf,Die Käufe,Der,Kauf,kauf,0
Interval,Das Intervall,Die Intervalle,Das,Intervall,intervall,2
Splash,Das Spritzen,Die Spritzen,Das,Spritzen,spritzen,2
Convention,Die Konvention,Die Konventionen,Die,Konvention,konvention,1
Pose,Die Pose,Die Posen,Die,Pose,pose,1
Cradle,Die Wiege,Die Wiegen,Die,Wiege,wiege,1
Ram,Der Ram,Die Rams,Der,Ram,ram,0
Gentry,Das Adel,(usually uncountable),Das,Adel,adel,2
Seam,Die Naht,Die Nähte,Die,Naht,naht,1
Punk,Der Punk,Die Punks,Der,Punk,punk,0
Remnant,Der Überrest,Die Überreste,Der,Überrest,überrest,0
Cracker,Der Knäckebrot,Die Knäckebrote,Der,Knäckebrot,knäckebrot,0
Bluff,Der Bluff,Die Bluffs,Der,Bluff,bluff,0
Dune,Die Düne,Die Dünen,Die,Düne,düne,1
Dentist,Der Zahnarzt,Die Zahnärzte,Der,Zahnarzt,zahnarzt,0
Refuge,Das Refugium,Die Refugien,Das,Refugium,refugium,2
Satin,Der Satin,(usually uncountable),Der,Satin,satin,0
Spread,Die Verbreitung,Die Verbreitungen,Die,Verbreitung,verbreitung,1
Mailbox,Der Briefkasten,Die Briefkästen,Der,Briefkasten,briefkasten,0
Hiss,Das Fauchen,Die Fauchen,Das,Fauchen,fauchen,2
Local,Der Einheimische,Die Einheimischen,Der,Einheimische,einheimische,0
Thud,Das Dumpfe Geräusch,Die Dumpfen Geräusche,Das,Dumpfe Geräusch,dumpfe geräusch,2
Dismay,Das Entsetzen,(usually uncountable),Das,Entsetzen,entsetzen,2
Flour,Das Mehl,(usually uncountable),Das,Mehl,mehl,2
Freak,Der Freak,Die Freaks,Der,Freak,freak,0
Haircut,Der Haarschnitt,Die Haarschnitte,Der,Haarschnitt,haarschnitt,0
Sweet,Die Süße,(usually uncountable),Die,Süße,süße,1
Orphan,Das Waisenkind,Die Waisenkinder,Das,Waisenkind,waisenkind,2
Chess,Das Schach,(usually uncountable),Das,Schach,schach,2
Petal,Das Blütenblatt,Die Blütenblätter,Das,Blütenblatt,blütenblatt,2
Paperwork,Die Papierarbeit,(usually uncountable),Die,Papierarbeit,papierarbeit,1
Psychiatrist,Der Psychiater,Die Psychiater,Der,Psychiater,psychiater,0
Singing,Das Singen,(usually uncountable),Das,Singen,singen,2
Interrupt,Die Unterbrechung,Die Unterbrechungen,Die,Unterbrechung,unterbrechung,1
Admiration,Die Bewunderung,(usually uncountable),Die,Bewunderung,bewunderung,1
Freezer,Die Gefriertruhe,Die Gefriertruhen,Die,Gefriertruhe,gefriertruhe,1
Illustration,Die Illustration,Die Illustrationen,Die,Illustration,illustration,1
Stew,Der Eintopf,Die Eintöpfe,Der,Eintopf,eintopf,0
Investigator,Der Ermittler,Die Ermittler,Der,Ermittler,ermittler,0
Suburb,Der Vorort,Die Vororte,Der,Vorort,vorort,0
Holster,Der Holster,Die Holster,Der,Holster,holster,0
Factor,Der Faktor,Die Faktoren,Der,Faktor,faktor,0
Intimacy,Die Intimität,(usually uncountable),Die,Intimität,intimität,1
Saving,Die Ersparnisse,(usually uncountable),Die,Ersparnisse,ersparnisse,1
Software,Die Software,(usually uncountable),Die,Software,software,1
Birch,Die Birke,Die Birken,Die,Birke,birke,1
Nursery,Die Kinderzimmer,Die Kinderzimmer,Die,Kinderzimmer,kinderzimmer,1
Transport,Der Transport,Die Transporte,Der,Transport,transport,0
Definition,Die Definition,Die Definitionen,Die,Definition,definition,1
Plum,Die Pflaume,Die Pflaumen,Die,Pflaume,pflaume,1
Delay,Die Verzögerung,Die Verzögerungen,Die,Verzögerung,verzögerung,1
Inspection,Die Inspektion,Die Inspektionen,Die,Inspektion,inspektion,1
Essence,Die Essenz,Die Essenzen,Die,Essenz,essenz,1
Cannon,Die Kanone,Die Kanonen,Die,Kanone,kanone,1
Stereo,Das Stereo,Die Stereos,Das,Stereo,stereo,2
Praise,Das Lob,(usually uncountable),Das,Lob,lob,2
Penguin,Der Pinguin,Die Pinguine,Der,Pinguin,pinguin,0
Torture,Die Folter,Die Folterungen,Die,Folter,folter,1
Stamp,Die Briefmarke,Die Briefmarken,Die,Briefmarke,briefmarke,1
Particle,Das Teilchen,Die Teilchen,Das,Teilchen,teilchen,2
Translator,Der Übersetzer,Die Übersetzer,Der,Übersetzer,übersetzer,0
Easter,Das Ostern,(usually uncountable),Das,Ostern,ostern,2
Freeze,Das Einfrieren,Die Einfrierungen,Das,Einfrieren,einfrieren,2
Panties,Der Slip,Die Slips,Der,Slip,slip,0
Consideration,Die Überlegung,Die Überlegungen,Die,Überlegung,überlegung,1
Spit,Das Spucken,Die Spucken,Das,Spucken,spucken,2
Cooler,Der Kühler,Die Kühler,Der,Kühler,kühler,0
Grill,Der Grill,Die Grills,Der,Grill,grill,0
Nickname,Der Spitzname,Die Spitznamen,Der,Spitzname,spitzname,0
Revolver,Der Revolver,Die Revolver,Der,Revolver,revolver,0
Machinery,Die Maschinen,(usually uncountable),Die,Maschinen,maschinen,1
Pike,Der Hecht,Die Hechte,Der,Hecht,hecht,0
Terrorist,Der Terrorist,Die Terroristen,Der,Terrorist,terrorist,0
Laptop,Der Laptop,Die Laptops,Der,Laptop,laptop,0
Beak,Der Schnabel,Die Schnäbel,Der,Schnabel,schnabel,0
Institution,Die Institution,Die Institutionen,Die,Institution,institution,1
Comparison,Der Vergleich,Die Vergleiche,Der,Vergleich,vergleich,0
Maker,Der Hersteller,Die Hersteller,Der,Hersteller,hersteller,0
Insight,Der Einblick,Die Einblicke,Der,Einblick,einblick,0
Sibling,Das Geschwister,Die Geschwister,Das,Geschwister,geschwister,2
Wardrobe,Der Kleiderschrank,Die Kleiderschränke,Der,Kleiderschrank,kleiderschrank,0
Flap,Die Klappe,Die Klappen,Die,Klappe,klappe,1
Sole,Die Sohle,Die Sohlen,Die,Sohle,sohle,1
Ego,Das Ego,Die Egos,Das,Ego,ego,2
Antenna,Die Antenne,Die Antennen,Die,Antenne,antenne,1
Cricket,Die Grille,Die Grillen,Die,Grille,grille,1
Troll,Der Troll,Die Trolle,Der,Troll,troll,0
Bookstore,Die Buchhandlung,Die Buchhandlungen,Die,Buchhandlung,buchhandlung,1
Coming,Das Kommen,(usually uncountable),Das,Kommen,kommen,2
Objection,Der Einwand,Die Einwände,Der,Einwand,einwand,0
Holder,Der Halter,Die Halter,Der,Halter,halter,0
Backseat,Die Rücksitzbank,Die Rücksitzbänke,Die,Rücksitzbank,rücksitzbank,1
Ignorance,Die Unwissenheit,(usually uncountable),Die,Unwissenheit,unwissenheit,1
Corps,Das Corps,Die Cores,Das,Corps,corps,2
Loaf,Das Laib,Die Laibe,Das,Laib,laib,2
Extension,Die Erweiterung,Die Erweiterungen,Die,Erweiterung,erweiterung,1
Chemical,Die Chemikalie,Die Chemikalien,Die,Chemikalie,chemikalie,1
Villager,Der Dorfbewohner,Die Dorfbewohner,Der,Dorfbewohner,dorfbewohner,0
Perfection,Die Perfektion,(usually uncountable),Die,Perfektion,perfektion,1
Pope,Der Papst,Die Päpste,Der,Papst,papst,0
Semester,Das Semester,Die Semester,Das,Semester,semester,2
Liver,Die Leber,Die Lebern,Die,Leber,leber,1
Saucer,Die Untertasse,Die Untertassen,Die,Untertasse,untertasse,1
Urgency,Die Dringlichkeit,Die Dringlichkeiten,Die,Dringlichkeit,dringlichkeit,1
Volcano,Der Vulkan,Die Vulkane,Der,Vulkan,vulkan,0
Spice,Das Gewürz,Die Gewürze,Das,Gewürz,gewürz,2
Hostage,Die Geisel,Die Geiseln,Die,Geisel,geisel,1
Dough,Der Teig,Die Teige,Der,Teig,teig,0
Courthouse,Das Gerichtsgebäude,Die Gerichtsgebäude,Das,Gerichtsgebäude,gerichtsgebäude,2
Salmon,Der Lachs,Die Lachse,Der,Lachs,lachs,0
Boxer,Der Boxer,Die Boxer,Der,Boxer,boxer,0
Errand,Der Botengang,Die Botengänge,Der,Botengang,botengang,0
Mechanism,Der Mechanismus,Die Mechanismen,Der,Mechanismus,mechanismus,0
Telescope,Das Teleskop,Die Teleskope,Das,Teleskop,teleskop,2
Ferry,Die Fähre,Die Fähren,Die,Fähre,fähre,1
PasserBy,Der Passant,Die Passanten,Der,Passant,passant,0
Irritation,Die Irritation,Die Irritationen,Die,Irritation,irritation,1
Coward,Der Feigling,Die Feiglinge,Der,Feigling,feigling,0
Howl,Das Heulen,Die Heulungen,Das,Heulen,heulen,2
Hue,Der Farbton,Die Farbtöne,Der,Farbton,farbton,0
Discomfort,Die Unannehmlichkeit,Die Unannehmlichkeiten,Die,Unannehmlichkeit,unannehmlichkeit,1
Vent,Die Belüftung,Die Belüftungen,Die,Belüftung,belüftung,1
Canoe,Das Kanu,Die Kanus,Das,Kanu,kanu,2
Recipe,Das Rezept,Die Rezepte,Das,Rezept,rezept,2
Hamburger,Der Hamburger,Die Hamburger,Der,Hamburger,hamburger,0
Eave,Der Trauf,Die Traube,Der,Trauf,trauf,0
Barber,Der Friseur,Die Friseure,Der,Friseur,friseur,0
Passing,Das Vorbeigehen,Die Vorbeigehen,Das,Vorbeigehen,vorbeigehen,2
Betrayal,Der Verrat,Die Verrat,Der,Verrat,verrat,0
Tentacle,Das Tentakel,Die Tentakel,Das,Tentakel,tentakel,2
Surf,Die Brandung,(usually uncountable),Die,Brandung,brandung,1
Plaid,Der Schottenkaro,Die Schottenkaros,Der,Schottenkaro,schottenkaro,0
Limp,Das Hinken,Die Hinken,Das,Hinken,hinken,2
Administration,Die Verwaltung,Die Verwaltungen,Die,Verwaltung,verwaltung,1
Convenience,Die Bequemlichkeit,Die Bequemlichkeiten,Die,Bequemlichkeit,bequemlichkeit,1
Diaper,Die Windel,Die Windeln,Die,Windel,windel,1
Mole,Der Maulwurf,Die Maulwürfe,Der,Maulwurf,maulwurf,0
Cleaner,Der Reiniger,Die Reiniger,Der,Reiniger,reiniger,0
Swell,Das Anschwellen,Die Anschwellen,Das,Anschwellen,anschwellen,2
Scan,Die Scan,Die Scans,Die,Scan,scan,1
Clarity,Die Klarheit,(usually uncountable),Die,Klarheit,klarheit,1
Producer,Der Produzent,Die Produzenten,Der,Produzent,produzent,0
Flying,Das Fliegen,(usually uncountable),Das,Fliegen,fliegen,2
Plea,Der Appell,Die Appelle,Der,Appell,appell,0
Prairie,Die Prärie,Die Prärien,Die,Prärie,prärie,1
Passport,Der Reisepass,Die Reisepässe,Der,Reisepass,reisepass,0
Alternative,Die Alternative,Die Alternativen,Die,Alternative,alternative,1
Vanity,Die Eitelkeit,Die Eitelkeiten,Die,Eitelkeit,eitelkeit,1
Dam,Der Damm,Die Dämme,Der,Damm,damm,0
Abuse,Der Missbrauch,Die Missbräuche,Der,Missbrauch,missbrauch,0
Olive,Die Olive,Die Oliven,Die,Olive,olive,1
Miner,Der Bergarbeiter,Die Bergarbeiter,Der,Bergarbeiter,bergarbeiter,0
Reserve,Der Reservat,Die Reservate,Der,Reservat,reservat,0
Backup,Das Backup,Die Backups,Das,Backup,backup,2
Intercom,Das Gegensprechanlage,Die Gegensprechanlagen,Das,Gegensprechanlage,gegensprechanlage,2
Shawl,Das Tuch,Die Tücher,Das,Tuch,tuch,2
Implication,Die Auswirkung,Die Auswirkungen,Die,Auswirkung,auswirkung,1
Rumble,Das Grollen,Die Grollen,Das,Grollen,grollen,2
Announcer,Der Ansager,Die Ansager,Der,Ansager,ansager,0
Axe,Die Axt,Die Äxte,Die,Axt,axt,1
Transmission,Die Übertragung,Die Übertragungen,Die,Übertragung,übertragung,1
Aroma,Das Aroma,Die Aromen,Das,Aroma,aroma,2
Dialogue,Der Dialog,Die Dialoge,Der,Dialog,dialog,0
Roller,Der Roller,Die Roller,Der,Roller,roller,0
Congregation,Die Gemeinde,Die Gemeinden,Die,Gemeinde,gemeinde,1
Terrain,Das Gelände,Die Gelände,Das,Gelände,gelände,2
Transfer,Die Überweisung,Die Überweisungen,Die,Überweisung,überweisung,1
Hardware,Die Hardware,(usually uncountable),Die,Hardware,hardware,1
Generator,Der Generator,Die Generatoren,Der,Generator,generator,0
Luxury,Der Luxus,Die Luxus,Der,Luxus,luxus,0
Auditorium,Das Auditorium,Die Auditorien,Das,Auditorium,auditorium,2
Goblin,Der Kobold,Die Kobolde,Der,Kobold,kobold,0
Peg,Der Zapfen,Die Zapfen,Der,Zapfen,zapfen,0
Defeat,Die Niederlage,Die Niederlagen,Die,Niederlage,niederlage,1
Admission,Die Zulassung,Die Zulassungen,Die,Zulassung,zulassung,1
Obsession,Die Besessenheit,Die Besessenheiten,Die,Besessenheit,besessenheit,1
Patsy,Der Dummkopf,Die Dummköpfe,Der,Dummkopf,dummkopf,0
Dorm,Das Studentenwohnheim,Die Studentenwohnheime,Das,Studentenwohnheim,studentenwohnheim,2
Saw,Die Säge,Die Sägen,Die,Säge,säge,1
Til,Der Til,Die Tils,Der,Til,til,0
Stagger,Der Taumel,Die Taumel,Der,Taumel,taumel,0
Pussy,Die Möse,Die Mösen,Die,Möse,möse,1
Collector,Der Sammler,Die Sammler,Der,Sammler,sammler,0
Earthquake,Das Erdbeben,Die Erdbeben,Das,Erdbeben,erdbeben,2
Flake,Die Flocke,Die Flocken,Die,Flocke,flocke,1
Syllable,Die Silbe,Die Silben,Die,Silbe,silbe,1
Bouquet,Der Blumenstrauß,Die Blumensträuße,Der,Blumenstrauß,blumenstrauß,0
Selection,Die Auswahl,Die Auswahlen,Die,Auswahl,auswahl,1
Vow,Das Gelübde,Die Gelübde,Das,Gelübde,gelübde,2
Granddaughter,Die Enkelin,Die Enkelinnen,Die,Enkelin,enkelin,1
Symptom,Das Symptom,Die Symptome,Das,Symptom,symptom,2
Scenario,Das Szenario,Die Szenarien,Das,Szenario,szenario,2
